City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
379,Dalaba,GN,2021-01-05 01:57:03,10.7,-12.25,63.34,39,0,2.73
380,Mandan,US,2021-01-05 01:55:33,46.83,-100.89,33.01,68,1,4.7
381,Flinders,AU,2021-01-05 01:50:37,-34.58,150.86,82.0,72,37,4.0
382,Hasaki,JP,2021-01-05 01:50:27,35.73,140.83,45.0,75,75,4.7
383,San Rafael,AR,2021-01-05 01:57:04,-34.62,-68.33,62.96,78,97,12.68
384,Liverpool,GB,2021-01-05 01:54:01,53.41,-2.98,37.4,74,40,8.05
385,Cherskiy,RU,2021-01-05 01:52:21,68.75,161.3,-31.34,84,78,5.26
386,Lake City,US,2021-01-05 01:57:05,30.19,-82.64,42.8,93,1,3.47
387,Almeirim,BR,2021-01-05 01:55:02,-1.52,-52.58,77.88,79,99,4.38
388,Rosarito,MX,2021-01-05 01:57:06,32.33,-117.03,57.2,71,40,7.49
389,Chino Valley,US,2021-01-05 01:57:06,34.76,-112.45,53.6,25,1,3.36
390,Iralaya,HN,2021-01-05 01:57:06,15.0,-83.23,76.26,81,0,7.65
391,Mount Gambier,AU,2021-01-05 01:50:01,-37.83,140.77,60.8,67,90,17.22
392,Valparaiso,CL,2021-01-05 01:57:07,-33.04,-71.63,57.2,87,75,4.7
393,Nushki,PK,2021-01-05 01:57:07,29.55,66.02,33.46,73,0,2.86
394,Norrkoping,SE,2021-01-05 01:57:07,58.59,16.18,33.8,86,100,9.17
395,Pisco,PE,2021-01-05 01:50:58,-13.7,-76.22,69.8,88,0,14.99
396,Sur,OM,2021-01-05 01:49:58,22.57,59.53,66.56,40,0,12.26
397,Turan,VN,2021-01-05 01:57:08,16.07,108.22,69.8,83,75,5.99
398,Valle Hermoso,MX,2021-01-05 01:55:36,25.67,-97.83,69.8,83,5,6.93
399,Yeniseysk,RU,2021-01-05 01:57:09,58.45,92.17,-26.66,85,51,4.68
400,Tete,MZ,2021-01-05 01:57:09,-16.16,33.59,77.0,94,40,2.91
401,Sawakin,SD,2021-01-05 01:57:09,19.11,37.33,77.31,77,89,5.06
402,Kruisfontein,ZA,2021-01-05 01:47:40,-34.0,24.73,72.0,93,100,1.99
403,Okhotsk,RU,2021-01-05 01:57:10,59.38,143.3,-4.88,87,100,12.5
404,Ures,MX,2021-01-05 01:57:10,29.43,-110.4,64.99,27,0,3.0
405,Northam,GB,2021-01-05 01:50:29,51.03,-4.22,39.0,76,93,11.99
406,Kobyli,CZ,2021-01-05 01:57:11,48.93,16.89,39.2,86,90,8.05
407,Xinpu,CN,2021-01-05 01:57:11,34.6,119.16,31.71,85,98,17.78
408,Ojojona,HN,2021-01-05 01:57:11,13.93,-87.3,71.6,56,40,2.24
409,Smithers,CA,2021-01-05 01:56:01,54.78,-127.17,26.6,86,20,5.82
410,Lasa,IT,2021-01-05 01:51:15,46.62,10.7,30.99,92,75,1.48
411,Hobyo,SO,2021-01-05 01:53:05,5.35,48.53,75.85,70,100,18.1
412,Altay,CN,2021-01-05 01:57:13,47.87,88.12,-9.4,56,0,2.51
413,Amalapuram,IN,2021-01-05 01:57:13,16.58,82.02,68.0,88,20,8.05
414,Ardakan,IR,2021-01-05 01:57:14,32.31,54.02,28.4,58,0,4.7
415,Gornopravdinsk,RU,2021-01-05 01:57:14,60.05,69.9,-16.85,86,48,5.97
416,Walvis Bay,NA,2021-01-05 01:50:41,-22.96,14.51,69.01,88,7,3.36
417,Tumpat,MY,2021-01-05 01:57:14,6.2,102.17,78.8,88,40,11.41
418,Marsh Harbour,BS,2021-01-05 01:57:15,26.54,-77.06,72.16,70,93,12.46
419,Sao Bento Do Sul,BR,2021-01-05 01:57:15,-26.25,-49.38,61.0,95,100,1.01
420,Neryungri,RU,2021-01-05 01:57:16,56.67,124.65,-29.96,81,100,5.57
421,Sar-E Pul,AF,2021-01-05 01:57:16,35.83,66.17,19.18,80,99,1.28
422,Bayir,TR,2021-01-05 01:51:22,37.27,28.22,62.6,72,75,20.8
423,Hiranagar,IN,2021-01-05 01:57:16,32.45,75.27,59.31,73,100,3.76
424,Bosobolo,CD,2021-01-05 01:57:17,4.18,19.9,73.22,61,88,1.72
425,Valdosta,US,2021-01-05 01:55:27,30.83,-83.28,44.6,81,1,4.34
426,Port Hardy,CA,2021-01-05 01:51:15,50.7,-127.42,46.4,93,75,4.7
427,Aksarka,RU,2021-01-05 01:57:17,66.56,67.8,-17.86,88,81,12.26
428,Kaduy,RU,2021-01-05 01:57:17,59.2,37.15,23.74,98,100,4.41
429,Carutapera,BR,2021-01-05 01:52:54,-1.2,-46.02,77.52,87,100,5.48
430,Mgandu,TZ,2021-01-05 01:57:18,-5.95,34.13,61.0,94,99,1.48
431,Gao,ML,2021-01-05 01:57:18,16.64,1.64,72.34,21,0,7.58
432,Chekhov,RU,2021-01-05 01:57:19,55.14,37.47,28.99,99,100,3.78
433,Kavieng,PG,2021-01-05 01:50:58,-2.57,150.8,85.96,70,94,11.61
434,Acarau,BR,2021-01-05 01:57:19,-2.89,-40.12,78.48,84,4,11.9
435,Hervey Bay,AU,2021-01-05 01:57:19,-25.3,152.85,86.0,58,75,6.93
436,Astara,AZ,2021-01-05 01:57:20,38.5,48.67,42.8,75,75,3.22
437,Lago Da Pedra,BR,2021-01-05 01:57:20,-4.33,-45.17,73.96,95,93,2.77
438,Tilichiki,RU,2021-01-05 01:50:49,60.47,166.1,-15.38,89,33,10.76
439,Tulun,RU,2021-01-05 01:57:21,54.56,100.58,-22.85,84,100,6.31
440,Ostersund,SE,2021-01-05 01:57:21,63.18,14.64,15.8,92,54,1.88
441,Boyolangu,ID,2021-01-05 01:57:21,-8.12,111.89,84.42,65,71,0.63
442,Taoudenni,ML,2021-01-05 01:50:08,22.68,-3.98,64.58,24,49,6.02
443,Andenes,NO,2021-01-05 01:52:58,69.31,16.12,39.99,86,100,19.46
444,La Asuncion,VE,2021-01-05 01:54:56,11.03,-63.86,75.9,82,1,10.58
445,Saint Simons,US,2021-01-05 01:57:23,31.14,-81.39,48.2,81,1,4.7
446,Victoria,HK,2021-01-05 01:49:29,22.29,114.16,66.99,50,30,1.01
447,Sept-Iles,CA,2021-01-05 01:50:03,50.2,-66.38,25.0,85,7,2.24
448,Bama,NG,2021-01-05 01:52:48,11.52,13.69,63.27,32,0,2.06
449,Roswell,US,2021-01-05 01:54:19,34.02,-84.36,46.0,70,1,3.98
450,Pangai,TO,2021-01-05 01:57:24,-19.8,-174.35,84.2,79,75,6.93
451,Akureyri,IS,2021-01-05 01:57:25,65.68,-18.09,37.4,64,75,14.99
452,Ndele,CF,2021-01-05 01:57:25,8.41,20.65,70.65,26,0,5.97
453,Mongu,ZM,2021-01-05 01:57:25,-15.25,23.13,65.91,95,1,4.97
454,Burla,IN,2021-01-05 01:57:26,21.5,83.87,59.0,87,20,4.05
